  EVENTID,AUTHOR,DATE,TIME,LAT,LON,DEPTH,DEPFIX,AUTHOR,TYPE,MAG
611402814,DJA      ,1/1/2015,33:02.6,-1.88,120.3,24,      ,DJA      ,MLv   ,3.3
611402813,DJA      ,1/1/2015,13:08.1,-1.99,120.41,17,      ,DJA      ,MLv   ,3.4
606930653,ISC      ,1/1/2015,45:49.4,5.2183,126.4389,57.7,      ,ISC      ,mb    ,3.9
606930654,ISC      ,1/1/2015,48:55.7,3.8547,126.0689,107,TRUE  ,ISC      ,mb    ,3.9
606930658,ISC      ,1/1/2015,39:36.3,-6.5096,130.5472,100,TRUE  ,ISC      ,mb    ,3.7
606930660,ISC      ,1/1/2015,50:53.6,-7.5616,129.101,150,TRUE  ,ISC      ,mb    ,3.5
606930665,ISC      ,1/1/2015,07:09.8,-10.2052,113.9076,51.6,      ,ISC      ,mb    ,3.6
606930667,IDC      ,1/1/2015,36:39.1,-6.8785,130.5,82.6,      ,IDC      ,mb    ,3
606930669,ISC      ,1/1/2015,53:52.6,-2.8479,129.3945,43.5,      ,ISC      ,mb    ,4.2
606930679,ISC      ,1/1/2015,45:48.7,-9.3947,113.3635,31.9,      ,ISC      ,mb    ,3.8
606930688,ISC      ,1/1/2015,11:09.1,-2.193,120.7648,23.5,      ,ISC      ,mb    ,3.3
606930692,ISC      ,1/1/2015,34:32.3,-2.2203,120.8579,27.3,      ,ISC      ,mb    ,3.7
611402812,DJA      ,1/1/2015,21:41.1,-2.14,120.67,10,      ,DJA      ,MLv   ,3.5
606436911,ISC      ,1/1/2015,20:06.6,-2.2082,120.8857,37.5,      ,ISC      ,mb    ,4.5
606930706,ISC      ,1/1/2015,11:05.6,-0.0286,123.531,157,TRUE  ,ISC      ,mb    ,4.2
606436930,ISC      ,1/2/2015,41:46.2,2.5065,128.6952,44.6,      ,ISC      ,mb    ,4.8
606930732,IDC      ,1/2/2015,27:43.0,-5.1077,130.1001,176.2,      ,IDC      ,mb    ,2.8
606930749,ISC      ,1/2/2015,31:15.1,5.9468,126.8677,93.1,      ,ISC      ,mb    ,3.7
606436938,ISC      ,1/2/2015,48:55.2,4.6606,125.0838,300,TRUE  ,ISC      ,mb    ,4.2
